ModelGeneID,90m-HUVEC.control-Candida.SC5314.rep1,90m-HUVEC.control-Candida.SC5314.rep2,90m-HUVEC.infected-Candida.SC5314.rep1,90m-HUVEC.infected-Candida.SC5314.rep2,5h-HUVEC.control-Candida.SC5314.rep1,5h-HUVEC.control-Candida.SC5314.rep2,5h-HUVEC.infected-Candida.SC5314.rep1,5h-HUVEC.infected-Candida.SC5314.rep2,8h-HUVEC.control-Candida.SC5314.rep1,8h-HUVEC.control-Candida.SC5314.rep2,8h-HUVEC.infected-Candida.SC5314.rep1,8h-HUVEC.infected-Candida.SC5314.rep2
CAALFM_C105110CA,315.7954773,324.1269461,281.3535495,319.4204573,108.5390879,239.5164675,104.5590568,191.0173326,86.7355519,103.4382447,100.5373919,75.7380112
CAALFM_C105260CA,31.75858,39.8229109,43.836705,38.2156296,26.4301033,41.7475294,35.5516687,45.0190403,16.0337982,41.4398595,22.2386345,29.5915358
CAALFM_C105290WA,277.4221253,344.7247476,276.1108072,306.2416059,208.821842,306.8934607,204.1871081,282.8504363,177.817607,225.5733342,206.2882788,188.9357357
CAALFM_C105410CA,59.7315391,49.337636,40.1751746,44.2478886,143.4760254,100.2601921,92.9084592,97.9724036,55.4454814,132.6136831,40.2070902,102.0530982
CAALFM_C105530CA,82.7089034,140.1646056,59.4984375,117.0864493,52.9775529,116.5799175,39.3164833,81.9204854,72.1755468,70.4565938,45.5462913,62.176791
CAALFM_C105560WA,282.6548468,235.5071975,145.5281,228.2542926,438.2893474,503.0636554,234.4823163,512.5301829,197.4467302,463.1181784,136.8147321,269.7928078
CAALFM_C105600WA,7.7567135,8.2180802,5.5767557,7.4171177,10.1653644,12.0507022,6.2862445,10.5151599,15.0484261,17.6998419,7.1070904,10.9659447
CAALFM_C105710CA,1.0873083,2.4332695,1.1256563,1.6787474,0.8469387,4.5110108,0.5680307,2.8318149,0.6597949,2.3463809,0.4248069,0.9774976
CAALFM_C105940WA,3.1007989,1.0827865,2.1263814,0.8285942,0.464197,1.2815039,0.5500274,1.0782837,4.8411472,0.4842581,3.342271,0.1610271
CAALFM_C105980WA,43.6523247,49.2652578,33.0952237,50.9326659,54.1626291,35.2496279,42.478184,39.6241422,73.1122463,54.157943,52.8508795,53.2049588
CAALFM_C106000WA,1.5630924,1.7703542,0.9586623,2.0632717,2.8815415,1.3057394,2.145843,1.8879326,1.1937111,2.7123607,2.2866889,2.2941617
CAALFM_C106210WA,12.9265552,14.7443499,6.3286317,13.5941387,9.5423427,14.4204009,4.4278132,12.7149707,21.7910255,7.553724,7.3489131,12.5633218
CAALFM_C106510CA,32.5723389,30.9353631,30.0494709,28.780872,67.1592689,55.3440708,54.5596389,51.0702617,80.4153619,66.7597805,62.3060931,64.9253434
CAALFM_C106550WA,33.154235,21.751614,35.7214756,18.4118251,14.1313617,4.5566844,27.0275835,3.9411485,17.7117516,3.3014244,19.4719937,3.4808078
CAALFM_C106720CA,9.6473893,12.5083388,7.9491354,11.4331166,24.2768331,30.4813386,18.3373676,23.4268017,13.1009301,44.1872831,11.1034955,20.2572016
CAALFM_C106810WA,13.1142572,5.4614996,10.8697502,4.0260755,48.7487469,1.5279058,62.1699581,2.1278368,25.9990233,4.3302042,30.7738285,7.5559526
CAALFM_C106940CA,15.6492335,11.0708516,13.7742346,9.7799879,30.2832239,19.0510182,39.9926212,21.6971581,36.4274436,34.6281735,40.5190215,38.214126
CAALFM_C107120WA,241.2284262,255.3476525,300.6693917,238.9054039,563.9525636,629.2590422,484.79959,742.6447268,896.8363308,991.9993148,888.0112294,1000.1280641
CAALFM_C107350CA,17.51107,8.6372975,13.8926586,9.325266,28.7365383,20.8473067,16.1666765,18.8237446,17.7099649,14.4181566,9.8612009,12.2187799
CAALFM_C107430WA,0.159713,0.3191241,0.1604346,0.4654863,0.3107117,0.4615037,0.268093,0.2693504,0.2931416,0.3115895,0.1449705,0.1137062
CAALFM_C107570CA,9.5548075,11.0009379,6.7779533,11.6383139,10.1473611,11.139753,6.7378788,11.9972078,8.3889097,8.8912131,6.480926,6.9222597
CAALFM_C107700CA,89.9227771,193.0750364,46.7794795,161.1884199,59.4627096,134.534985,28.1056436,94.5496837,89.5421189,71.4111752,41.2522218,69.0477862
CAALFM_C107710CA,121.806812,76.1093351,59.2512425,89.5283431,131.29201,116.9791587,85.754045,87.8611143,131.5604105,117.4694999,101.3523517,91.5474896
CAALFM_C107840WA,55.4613712,44.9570377,30.6224228,42.6578429,100.5292795,46.263934,53.927309,59.6731524,72.2443688,65.7805484,45.0172393,72.6245848
CAALFM_C107880CA,47.2612382,31.6135472,32.1189057,43.7851313,43.1842476,38.6178809,48.0632909,48.3211563,136.6276556,53.6136676,117.5145753,89.526954
CAALFM_C107890CA,146.6196718,56.5055013,80.1960781,72.1538192,214.7271967,125.8490253,149.560156,97.089478,124.4381654,150.9083727,129.0021056,92.1494703
CAALFM_C108070WA,2.5493977,2.4925874,1.9476225,1.7681607,38.598339,10.5599087,35.8244019,20.4732359,115.5877234,37.9901074,72.2094525,85.7619063
CAALFM_C108210CA,78.4990817,91.3612196,75.347322,91.9914964,57.2774851,99.5849339,81.2345608,83.53847,84.454614,83.0877174,99.0114798,80.1037344
CAALFM_C108230CA,241.582027,301.6069954,246.3689575,282.6154414,158.3382892,143.0612978,149.3210461,144.6609251,139.4100456,169.2152536,175.0296429,134.7612922
CAALFM_C108260CA,55.427281,55.8339588,41.0981203,56.5388025,86.7318513,82.8660511,57.203856,80.0716562,50.3020194,83.1013687,43.4313708,59.2339462
CAALFM_C108320WA,494.0425563,472.5990945,608.4946819,431.3046477,498.4418669,598.3022911,579.5366799,604.0090312,268.1964172,614.5974058,389.0696899,484.0196285
CAALFM_C108330CA,16.6125051,10.9516055,15.177051,5.9180826,298.519853,383.9086959,317.1870521,570.6005406,305.7096314,1015.7375255,287.4951218,538.1619827
CAALFM_C108360CA,2620.9140119,1983.9049758,3212.8657708,1935.4837716,4046.5045209,1833.8486385,3861.0432604,1982.7188916,3139.9531584,2278.1300935,4248.5238369,2969.9859367
CAALFM_C108410CA,221.7927238,352.4143424,217.0707436,378.3747785,186.3631851,200.4774898,176.4262194,199.8064932,173.1486248,168.4599068,169.0011604,164.3617399
CAALFM_C108490WA,43.333123,48.2028394,30.9304135,45.1141085,44.3922887,47.0678251,32.9396487,51.4729452,37.8599188,64.4074632,29.349675,51.8029328
CAALFM_C108500CA,5571.447342,3116.25545,7452.7163702,2886.0300445,4154.5397135,6872.5458521,4184.0784273,6848.9940352,1148.0951307,2532.600293,1644.0413139,2318.3154685
CAALFM_C108590CA,366.0013099,238.0011824,340.315869,237.8110045,94.7563159,107.2225777,82.3939632,128.6779892,128.9019569,78.92691,97.3697787,101.9637508
CAALFM_C108650CA,38.1070206,27.62747,17.2536271,20.1814139,33.5863614,30.338457,19.1096715,26.9441201,34.060531,36.8873981,16.607177,25.6149818
CAALFM_C108780WA,20.7916655,16.1990848,22.8258162,15.7404893,36.5129808,21.2307382,39.9047327,21.8635665,39.5157245,58.2931995,50.876502,36.5406401
CAALFM_C108790WA,4.607947,12.6143388,5.3651612,11.382371,18.5247569,135.8184327,17.434473,77.9123848,19.5247396,66.0029264,22.4604185,44.7204526
CAALFM_C108860CA,20.3180491,20.6029713,17.761411,21.1808102,20.1135483,23.4822797,18.8917806,23.5202657,26.2145399,27.704677,21.213605,18.4962263
CAALFM_C108950WA,35.4474152,25.9970633,22.4312891,25.5019718,21.5631586,28.8105966,18.2961779,26.51969,34.7811087,30.1829057,17.0098462,22.8038192
CAALFM_C109030CA,404.2469901,318.5730513,399.3633889,329.1860624,515.0697304,84.5419374,380.9538102,120.9088917,392.4113571,194.8403686,284.2195499,274.8190523
CAALFM_C109190CA,65.1381003,74.7220486,54.713061,69.0999043,104.5952951,166.2816276,72.6831454,185.3090804,59.4952835,122.3893516,36.0653343,116.7841931
CAALFM_C109210CA,19.4865902,24.5088108,12.5205643,19.0593178,24.3869868,12.1101733,15.5974434,13.3519568,27.4598532,24.7250708,18.9215544,43.913164
CAALFM_C109400CA,57.8994875,96.1841201,34.8410003,93.8291269,211.3034145,240.1805613,151.2664088,224.53514,180.657786,406.8538957,162.3546149,277.9641323
CAALFM_C109420WA,0.1754449,0.0885621,0.0973944,0.1374255,0.1950383,0.1224243,0.1278752,0.3225473,0.3762507,0.4755909,0.1737276,0.5349607
CAALFM_C109430WA,89.1117245,191.2170406,83.2618087,177.8843935,45.6842384,76.2548652,43.1191548,79.9024255,100.2289542,63.5995049,90.9848471,76.8752984
CAALFM_C109440WA,14.3628481,11.0300157,12.6012511,9.8009938,34.8553491,12.736475,29.7135215,15.0290712,26.4404972,27.4486268,21.8679923,21.6666317
CAALFM_C109460WA,139.0700591,217.4091759,131.8011013,188.3647448,103.0122408,180.3660586,84.2611289,164.5592569,121.763976,126.1646366,97.3403346,106.3195769
CAALFM_C109470CA,35.4090959,50.2825901,33.86082,42.1327122,47.5992293,46.3288735,42.1958188,41.6758312,47.3981418,41.6511696,41.2471317,37.2788548
CAALFM_C109490CA,301.8109575,241.1140343,250.7419175,287.7030255,270.368973,287.0235391,250.9198916,249.8817887,286.6504336,252.6144276,303.011671,224.7905728
CAALFM_C109570WA,22.3532954,26.1655741,20.2221225,24.7378784,21.8739207,16.1479189,17.5977089,17.3058935,39.1864542,25.831084,28.8373044,23.3916355
CAALFM_C109580CA,1.1585149,1.419769,0.9559369,1.2589226,2.0033947,1.7535171,1.7015905,2.0442842,1.3467014,2.6906979,1.1107571,1.4949391
CAALFM_C109590CA,0.0832838,0.0443761,0.0557734,0,0,0,0.01165,0.0461771,0.0203815,0,0.0458159,0.0024705
CAALFM_C109600CA,6.4717315,7.2693928,6.4234188,7.0838577,6.7243083,11.4682089,5.5359403,11.2022077,6.6908396,8.8564816,5.0589024,7.3216784
CAALFM_C109630WA,562.3792352,745.8121771,566.9867909,693.5217167,863.817007,714.7921607,704.9330107,616.8806886,510.2223371,914.8794059,592.0557203,642.6476329
CAALFM_C109640WA,180.3080488,152.5967071,155.5626707,147.0940059,251.3309266,199.7884244,250.2750753,155.4968685,151.8751899,228.5647064,211.6581956,157.149029
CAALFM_C109690WA,10.1356679,2.8838474,6.1208792,3.304377,1415.6823733,55.0555911,1449.3783118,89.4120499,821.1980973,825.7459867,1100.8031264,859.2031608
CAALFM_C109720WA,111.5314335,115.9598845,106.4987202,114.1139621,135.0669582,180.0155567,116.3145105,175.7633681,73.0406977,138.528855,87.1976305,97.4636876
CAALFM_C109900WA,0.1735863,0.1664854,0.2615559,0.2175515,0.2843802,0.0652225,0.540588,0.0785162,0.1609795,0.2994427,0.2352142,0.08537
CAALFM_C109980CA,16.3197711,30.0083171,7.1905508,21.784785,35.4652913,45.5366273,14.2404107,39.6261282,31.219904,37.4322498,10.7421644,39.6975409
CAALFM_C110200CA,42.4127425,80.0860758,29.6640877,79.2956991,39.4084131,77.65898,27.0816302,77.7190336,113.5615258,31.1689532,54.5342049,79.2520664
CAALFM_C110430WA,0.8573061,0.8797929,0.6846378,0.4210464,1.5153482,1.7923677,1.7052956,1.6969536,0.9818787,4.0843617,0.8828714,1.7417897
CAALFM_C110610WA,28.304929,37.3188791,19.9114998,30.224014,29.0118684,33.9915619,25.4697581,27.826843,46.5567315,27.7837031,32.1552472,25.4832921
CAALFM_C110710CA,8.6556915,21.7861258,9.141289,17.8664643,2.0111578,8.4298913,1.5412925,8.8352582,1.8033776,2.1268093,1.3281142,2.3670879
CAALFM_C110800CA,136.29159,79.595325,79.6213281,74.042683,121.7048199,76.6682906,78.5512957,74.8055254,95.7118764,120.1121711,108.9105462,84.4064986
CAALFM_C111020WA,3.944131,5.1445924,4.5166244,1.7609731,9.1199831,6.1140958,5.7599135,12.1588342,20.153844,2.95478,9.529483,10.4035943
CAALFM_C111100WA,33.4462309,43.6449735,19.22867,36.8108597,82.3916421,21.2026832,46.2558567,23.5790022,64.6312929,40.6282253,37.2500372,49.8605008
CAALFM_C111220CA,150.6326261,213.1420204,152.4764827,242.9977311,131.1794917,217.5766966,131.4215972,225.3572705,171.1873026,194.9402987,182.9153847,178.6692587
CAALFM_C111240CA,172.1255136,108.5217671,82.3790124,116.375772,197.4892564,108.06856,127.03946,114.1197647,100.1177427,114.945727,84.1024758,134.5588916
CAALFM_C111450CA,370.8919931,287.3584056,510.4531983,280.455055,156.7948604,174.0295395,195.657947,163.929222,114.789679,152.1761179,230.7919329,118.7046695
CAALFM_C111470CA,16.9992403,23.0858963,8.6615066,15.4723398,8.3035335,19.6291743,3.7879362,11.2266265,2.9911588,16.1436613,1.8432668,4.7040781
CAALFM_C111480WA,209.2926179,87.9078721,162.1674964,107.2340238,178.1558883,200.4215246,175.4120656,157.14972,353.4481969,511.2113352,277.9387949,296.3498633
CAALFM_C111500CA,36.6048975,51.6886675,24.5069298,43.3712215,41.984383,48.878481,27.4171034,45.5971926,54.3412287,44.6921722,30.1632615,42.6129436
CAALFM_C111590WA,175.2882771,146.4592396,226.3103599,161.3629954,89.2673167,131.2404513,176.9620732,151.6611222,142.0702795,163.9511566,218.8750873,166.4206483
CAALFM_C111610CA,26.8674299,14.5317664,21.615428,15.7241154,36.2974393,13.983753,34.6620939,15.0009068,15.5136292,32.3752191,32.9048936,17.7496925
CAALFM_C111640CA,27.8384563,31.7853206,24.3376675,26.0535286,25.2826141,24.0763571,20.1334264,18.7557188,17.3734984,26.0274569,14.6068936,18.3785649
CAALFM_C111660WA,24.4189529,24.4229372,16.1699342,20.5202332,182.3918467,240.0683802,110.2344731,227.9475703,95.7849517,266.0189987,73.2035568,209.9442309
CAALFM_C111700CA,15.3158122,13.5071812,13.129567,12.0297612,38.5135611,72.7010817,31.8155053,73.5242324,28.8090234,88.7792464,27.4272905,57.8426377
CAALFM_C111750WA,17.3358234,17.6425872,10.0298524,18.4263181,18.7249214,12.6091618,11.8050899,12.4955,25.3125627,18.5174478,16.4898114,16.8503381
CAALFM_C111870WA,272.9798766,214.8374254,172.6134648,254.3301239,292.6052134,142.2153657,232.0609526,238.2324916,768.5323402,227.3018393,623.7146738,485.1383132
CAALFM_C112030WA,330.9080042,185.5978667,202.6005661,203.9989243,204.6493723,180.494853,159.1616954,163.2565298,98.0426673,130.4061011,104.6091967,98.9603568
CAALFM_C112080WA,11.9285957,13.6355971,13.2169611,10.7108834,26.5460784,18.9047872,23.3367895,21.0860204,20.3894505,23.3006171,16.08188,19.6031081
CAALFM_C112100CA,32.6463688,13.3136849,16.2940256,9.7071221,46.2574715,9.3858386,35.9696402,8.9999702,36.0147117,33.8641125,23.6702699,19.6592985
CAALFM_C112200WA,29.7148876,48.6595823,20.5474953,41.6098579,16.0596673,39.3098015,10.0331721,29.7960321,18.0962592,26.4661323,12.6180563,19.0016653
CAALFM_C112210WA,40.8422805,57.6638488,25.032121,52.069342,41.6098177,56.0489651,24.1370524,46.7954538,54.6720725,36.7595981,29.0454984,36.938118
CAALFM_C112360CA,48.3688564,32.6695238,35.2644227,31.1937833,180.8855628,306.5972856,78.1630413,174.3262002,179.2320071,327.2049895,108.6516506,188.7066024
CAALFM_C112380CA,105.6225836,130.3584741,79.23069,127.432004,75.3543676,116.026144,59.7748267,113.6687253,105.9777663,73.0425618,83.463111,72.992215
CAALFM_C112580WA,33.8727689,27.6259709,19.9603779,24.944115,61.9340265,33.3144807,31.6096479,31.0905797,39.4821451,49.8048176,26.6308561,38.5278208
CAALFM_C112780WA,29.8982659,34.3551174,17.4135681,33.942865,57.2597229,64.0132723,36.1081104,62.0875494,42.4762211,49.5015939,24.3012809,48.9624439
CAALFM_C112790CA,42.2535191,70.4780432,35.2278152,83.1076737,43.0942797,50.5689682,38.558672,54.3790476,123.5984786,34.0877415,61.3572889,83.4691093
CAALFM_C112810WA,28.8142692,27.4837904,19.7312441,26.7799549,18.1491454,23.0383224,13.0326419,23.9935433,19.5910042,18.6164696,12.4314359,16.0368726
CAALFM_C113030CA,86.9741223,109.6149782,74.8871945,109.2028282,53.137486,114.0043873,50.2696295,101.7711281,84.3616981,63.3955846,74.2461209,60.0498333
CAALFM_C113110CA,128.5616723,154.3930859,115.6863462,153.7532512,76.2759691,107.2271493,74.0694051,91.9927613,88.9235594,94.541502,82.8375736,81.3077542
CAALFM_C113130CA,52.442863,52.4211252,32.046354,68.3845411,107.5272936,101.5679483,74.3531451,124.107625,105.4533195,111.4157965,78.7399837,148.7559813
CAALFM_C113160WA,21.463466,8.1591575,19.360196,7.1090248,438.8372118,176.8617204,262.0759873,218.2510635,361.8097484,295.9743742,231.8313031,326.8315522
CAALFM_C113510CA,32.1922561,23.066423,17.3642157,21.883935,14.2035802,21.7172351,6.4130334,17.6523568,14.3386464,16.0881732,5.9330378,11.6248423
CAALFM_C113540WA,22.6827015,25.1288027,12.4118242,20.3659839,25.3494553,24.4333031,13.8747483,23.3598366,27.9934821,26.1529669,13.3257024,24.7452825
CAALFM_C113630WA,0.7659491,0.3797593,1.0171858,0.2270209,12.3177324,0.3707176,10.5172709,0.5830405,16.0123279,1.8387687,8.3558264,3.750164
CAALFM_C113690CA,129.2946821,130.1046471,98.5428702,141.762849,236.6878452,140.4756834,168.1375268,137.7978777,169.0223246,200.5698999,141.9688672,161.5489296
CAALFM_C113760WA,78.0177684,102.2499061,51.3412726,99.0787244,70.118363,83.0364146,37.7414302,87.4493136,57.3232672,65.3067459,34.4158624,63.5938893
CAALFM_C113850CA,0.6596886,0.3944121,0.464729,0.3123881,0.9905147,0.4456108,0.8412972,0.3040143,0.8397051,0.8524345,0.644748,0.4208634
CAALFM_C113860CA,778.8997028,826.8015001,838.1354274,651.1914828,653.5475814,1232.0205172,627.9022678,1106.5127659,231.3564863,823.7450813,325.3781979,533.7481307
CAALFM_C113870WA,49.0150143,6.34506,11.5019628,10.2644436,33.4600908,0.5190019,9.9557639,0.8409149,4.9848642,3.5036396,15.0644944,1.2370842
CAALFM_C113900CA,96.1276461,136.3700606,72.2218446,117.9210207,68.8702256,103.3386627,52.0550156,89.7208672,87.3087565,81.0994318,63.9281777,75.3553202
