geneName	90m-OKF6.control-Candida.SC5314.rep1	90m-OKF6.control-Candida.SC5314.rep2	90m-OKF6.infected-Candida.SC5314.rep1	90m-OKF6.infected-Candida.SC5314.rep2	5h-OKF6.control-Candida.SC5314.rep1	5h-OKF6.control-Candida.SC5314.rep2	5h-OKF6.infected-Candida.SC5314.rep1	5h-OKF6.infected-Candida.SC5314.rep2	8h-OKF6.control-Candida.SC5314.rep1	8h-OKF6.control-Candida.SC5314.rep2	8h-OKF6.infected-Candida.SC5314.rep1	8h-OKF6.infected-Candida.SC5314.rep2
CAALFM_C102930CA	36.0045014	40.8329586	33.3458588	36.9107649	51.1055809	49.2991574	56.5566763	62.0037265	53.5973743	45.8900661	63.0982218	50.2325257
CAALFM_C103000WA	6.6354536	5.7860481	5.0923919	4.8573655	9.3282082	10.0219988	8.8766769	8.6478456	13.5445702	13.5483004	11.3090915	10.0467631
CAALFM_C103380WA	83.3130801	76.4528266	91.9409793	71.5956592	284.1000156	299.7504431	490.5133109	173.9455621	607.6832509	281.763706	660.429025	325.5770395
CAALFM_C103430WA	11.8323429	9.9344916	9.8061405	8.4502939	13.4797849	16.5999801	17.8201172	15.5135678	19.4887764	12.3613125	19.1988113	13.1355529
CAALFM_C103440CA	67.4470159	64.2657336	45.8733703	56.8326687	71.2052661	75.0139642	61.9000893	74.6043958	68.2390829	85.0438487	65.1698058	74.0372502
CAALFM_C103760CA	87.0661737	101.3972396	40.5255924	76.8723905	47.7241509	94.8953763	25.277881	81.4760122	45.6716137	73.5020562	30.9415135	58.4386027
CAALFM_C103780CA	123.3715109	154.6772929	85.1527934	141.6868173	81.9767212	114.5448277	55.5885399	111.8644669	77.8854502	115.1281281	77.6509037	106.8052272
CAALFM_C104200CA	46.6664884	70.6913069	38.9429188	55.2583167	49.5495024	58.3384479	55.7287686	56.6157388	61.2806624	80.6434606	37.0457396	61.8578593
CAALFM_C104290CA	845.5365368	673.0636686	551.237516	644.5029112	318.9966437	893.3274695	289.4867632	794.4977461	339.9512563	588.0184923	354.5387297	521.5235517
CAALFM_C104420CA	154.8065064	167.4429313	153.6972464	172.7364778	135.8020038	173.5772124	168.4849455	193.9740478	136.729594	153.099335	144.953444	160.1801892
CAALFM_C104460CA	0.6784814	0.4704387	0.6074855	0.8101459	9.3390181	3.9169575	18.6195404	2.1347928	20.8015676	17.3704567	18.8047675	13.8171921
CAALFM_C104500WA	1.6368233	1.1717723	2.7407635	0.5866204	89.6961403	10.6935777	329.8261564	4.3564045	1558.9359163	935.8194914	2311.4040981	1583.8109271
CAALFM_C104630CA	26.7885301	28.7313349	20.7579919	24.7878941	21.5170983	21.6547488	23.606713	23.0533373	38.5761004	30.4393866	41.3817714	29.3534828
CAALFM_C104660WA	5.1661517	4.3381164	4.4520015	3.7309577	4.9178411	4.5924616	4.0676315	5.8694657	5.2171845	7.4889577	5.8937415	6.3217356
CAALFM_C104730CA	121.5113482	138.0867	91.3890405	118.7449467	84.6908532	125.4759773	78.1120474	130.1946092	86.8576371	109.5751096	96.8235581	99.025964
CAALFM_C104770CA	179.8225998	157.1225586	127.7926542	203.641753	24.1440205	70.6809226	26.8650069	112.9292576	53.3830823	45.1720279	20.6419052	48.2981329
CAALFM_C105080WA	3.7347346	3.7960489	4.6967076	3.0450645	4.1191839	7.8347542	4.0767057	5.4680773	6.8264131	5.1931907	6.5040417	6.4900056
CAALFM_C105110CA	483.9485149	484.5004371	393.4951748	448.5874627	108.4464775	412.6264466	102.1775227	406.9548408	88.1420292	167.8408556	124.7406789	164.7398103
CAALFM_C105260CA	31.1565974	28.0744039	35.938204	28.8403784	33.2634279	43.2047453	59.2388094	38.0696355	32.3985223	30.9974624	47.3974986	33.9166446
CAALFM_C105290WA	343.341334	358.914305	297.0415482	324.8034687	210.9214918	359.8117654	199.0202675	332.7715756	198.6217447	247.7198449	238.555625	240.6209148
CAALFM_C105410CA	39.4730032	35.4486287	21.5113929	25.0771935	112.2351137	87.8489093	73.1516215	88.0573924	67.9615531	105.6919172	43.6614263	90.8630288
CAALFM_C105530CA	91.5065606	130.8183292	50.0464714	99.361749	62.6962108	95.6291772	37.6092056	88.4873876	61.0507607	107.0824246	49.3836626	81.8883022
CAALFM_C105560WA	116.7371249	82.4951182	67.5357443	63.6930963	210.6300061	191.5850414	141.1302932	169.3443728	99.1237303	166.5026964	53.6554817	122.7102949
CAALFM_C105600WA	7.7242401	7.4633969	4.320683	6.9318319	8.937508	10.0423151	8.4212855	7.9448478	17.1957788	9.6864396	13.5751066	10.0185655
CAALFM_C105710CA	1.7602113	2.107358	1.4289283	2.1007557	1.3874855	2.1210872	0.9117161	2.4153207	1.3835145	2.5094441	1.3404959	1.2074607
CAALFM_C105940WA	9.0577409	6.4178812	5.4810777	5.6640805	6.5432587	6.1754146	3.7547661	7.9208176	3.4566377	6.5300106	4.1018244	7.6231139
CAALFM_C105980WA	42.2489348	42.6720547	29.7091571	40.5090039	49.1786575	42.566575	43.2665071	44.8987601	78.6309454	68.6177605	69.4690478	76.8439449
CAALFM_C106000WA	1.1963025	1.3651861	1.2496425	0.6877741	1.0038642	1.6479305	1.0121875	0.7827952	1.1018975	1.4522376	0.7277514	1.0367044
CAALFM_C106210WA	12.8632562	13.9392009	6.8060884	12.7487738	14.9411784	11.3388828	8.1677259	13.6543251	22.2349964	18.2450477	11.7910367	16.0753035
CAALFM_C106510CA	40.7881238	40.9796573	26.5970942	36.2088019	47.6018425	50.6572383	39.0431762	51.0107764	58.6512705	69.6340329	52.6547194	62.3327601
CAALFM_C106550WA	46.8043855	47.6302834	43.4165035	43.5828321	99.6402327	112.8707648	123.6194403	86.1778894	128.732282	133.4636334	160.2073171	131.0080793
CAALFM_C106720CA	9.3700438	8.4968443	8.0910071	6.0756678	23.52603	22.5468455	23.3361543	20.0255513	20.1951456	23.8212028	17.6547338	22.2383435
CAALFM_C106810WA	10.8440352	8.3806889	8.2300626	6.6953881	193.3442759	91.8791933	349.7567043	58.7290428	305.3483757	310.3675401	388.6532707	301.9677679
CAALFM_C106940CA	8.6462993	9.8210028	7.9295956	8.3485063	23.3115674	29.1342443	34.9147916	20.9513661	40.9743258	37.0550909	56.9544418	40.4424761
CAALFM_C107120WA	647.6908046	529.0950805	566.3510361	541.5790382	946.3670957	843.2634975	1119.8262251	1057.7011724	909.4289266	980.8980137	1186.4677045	1076.7309318
CAALFM_C107350CA	9.3485914	8.8319874	8.5959769	9.3875472	27.6493827	21.8523853	25.5842978	14.1786508	27.5865735	13.0383655	10.4789846	12.8261649
CAALFM_C107430WA	0.1970761	0.2049699	0.1512464	0.8516349	0.3703773	0.5332081	0.1988517	0.3950988	0.311184	0.1599478	0.3387732	0.1540911
CAALFM_C107570CA	13.3238565	13.8455029	8.8306406	11.9055961	9.9719862	10.3041794	8.298776	13.576327	11.3813466	12.2020024	7.1317774	11.6608993
CAALFM_C107700CA	134.3703469	177.4528404	42.5881223	139.7333971	66.7787526	86.6178019	24.7027311	89.5445533	67.8383371	113.5674411	36.4378693	74.4058059
CAALFM_C107710CA	148.0518704	130.2362651	66.2379318	118.846604	134.027639	209.2366543	60.3361471	154.2280084	146.8255877	255.9954499	94.037944	207.5152393
CAALFM_C107840WA	37.2988265	33.836916	18.0955761	28.5854543	116.3340586	79.8382048	79.5238375	75.6003492	143.7821569	114.9438749	77.6917272	104.733184
CAALFM_C107880CA	63.1995435	73.5677431	52.164439	72.194873	42.4781139	60.048833	37.2080861	72.8954213	59.9203103	132.8954637	52.4729755	88.2750822
CAALFM_C107890CA	150.67605	112.9397009	79.0403376	103.9361576	159.4384332	323.1505964	79.4288992	158.8703518	154.8893066	228.7654834	123.3931083	212.7463323
CAALFM_C108070WA	1.5910804	1.7667451	1.7579501	1.3645825	43.4276849	23.8999732	116.5650517	13.8010993	139.7010965	34.6165277	192.9328151	58.0957086
CAALFM_C108210CA	83.1785196	95.3328423	76.9209774	99.2280308	62.5387893	90.0700037	64.6702941	94.9873504	80.9084225	113.7629426	93.9761719	120.3176175
CAALFM_C108230CA	70.7457598	101.0719805	107.6457938	142.1163892	46.36775	55.8464872	72.5435106	61.979502	98.6214776	75.560484	127.1233216	125.4915446
CAALFM_C108260CA	68.9022146	53.3478585	38.834937	51.9737946	66.8157025	86.5868754	51.2963801	87.0567178	55.7687305	62.5352995	27.9002247	56.7702761
CAALFM_C108320WA	397.1498365	366.0044787	404.6410928	370.2438492	426.3214939	586.1782462	608.8558099	598.0935534	336.7595806	382.8739598	459.0219938	414.1283774
CAALFM_C108330CA	10.501858	2.9196707	5.3705312	3.5690266	145.3606586	43.5941602	147.887076	58.9651477	127.6213382	91.6840774	132.998142	134.0251023
CAALFM_C108360CA	2578.2382001	1739.5660678	2920.1887059	2253.2440023	1852.49145	2221.3100414	2975.6229128	2279.6315236	3073.7755938	2582.8781767	2583.7901226	2794.4199944
CAALFM_C108410CA	477.6337454	427.8849063	361.7138026	426.3648119	225.0118987	405.3121495	203.4712899	459.5067551	222.6217411	298.9702258	244.8968559	272.4275897
CAALFM_C108490WA	39.2102832	49.1126157	30.7297516	47.6184995	42.1773117	68.7116692	42.1721419	79.7930102	44.8485534	52.2637531	39.6584088	56.9073717
CAALFM_C108500CA	6174.679944	4189.0209355	6751.4836313	6166.0523718	6091.5117532	8821.1499299	7603.2395135	9736.2163861	2390.2272823	3350.9385216	2760.081867	3523.7056922
CAALFM_C108590CA	377.4737408	313.2986569	400.3752521	452.1891576	167.9126266	265.1578745	188.2016378	446.2330998	218.4551864	157.8518119	214.8559939	194.8448986
CAALFM_C108650CA	12.8406964	13.2382642	6.5212798	10.1583835	23.6859141	26.3825336	15.7105044	19.1361527	32.2340133	25.21853	15.4005247	23.1615925
CAALFM_C108780WA	15.9336036	13.5639235	16.379398	12.191468	33.2010212	37.7347504	39.6973723	32.1374663	46.1037224	49.8457997	63.0144063	53.1236212
CAALFM_C108790WA	1.7852678	2.4395604	1.890148	2.6209864	2.6159221	4.7606265	3.2789217	2.851968	1.7284049	1.5205239	1.5554916	1.8187147
CAALFM_C108860CA	17.9826951	20.0848265	15.6998554	17.1844576	18.5124534	19.2802853	20.4686607	22.7784135	23.4129372	24.2604294	27.0419798	20.2694344
CAALFM_C108950WA	22.0060397	23.4499421	16.518775	21.9292601	22.1843531	33.6428568	24.7236287	25.3357565	42.8561512	28.4087252	38.5367363	26.6785845
CAALFM_C109030CA	561.1526381	543.574018	408.3541773	538.3128695	674.4419502	389.7802631	695.0361095	439.994533	853.1219403	730.4113176	464.1249491	799.9711472
CAALFM_C109190CA	108.3382244	99.1696167	68.7263108	91.4435418	187.132127	200.6737631	150.4439702	209.6783434	131.7973701	121.1469682	84.8614769	116.0021528
CAALFM_C109210CA	15.1164642	19.844216	12.627437	22.4753025	23.1272178	16.0987147	19.5961543	16.758102	45.3724435	36.8655923	41.730767	63.7795145
CAALFM_C109400CA	3.5260475	5.0465237	2.6232332	5.9792588	2.7949435	3.2380866	2.1237984	2.8475354	3.9823004	3.8007	2.9687832	1.4656942
CAALFM_C109420WA	0.0976639	0.0406303	0.1573999	0	0.0856547	0.0389405	0.103471	0.0130531	0.0411231	0.0341447	0.056409	0.0374174
CAALFM_C109430WA	105.6853043	143.9329179	83.1441548	125.1698975	42.0781005	32.7199052	37.4031761	48.4049603	74.2558175	72.8595015	71.2709617	60.8146993
CAALFM_C109440WA	9.3193256	6.7007873	8.7107213	4.5626171	18.089578	21.4785867	23.3043961	13.6759726	28.7727251	21.1781006	31.8293999	25.5563534
CAALFM_C109460WA	194.5941506	192.1051299	146.4289712	198.4617972	114.6034933	140.6339868	109.2965626	158.1605645	119.8344149	115.5938841	126.4103533	123.5898969
CAALFM_C109470CA	44.6323174	47.9302098	34.6095452	35.8067169	41.5176681	56.0029508	44.1864155	63.2935593	50.7285195	49.5173931	47.5483646	47.9112992
CAALFM_C109490CA	449.5852801	485.1258942	327.6470545	463.4002985	201.3626877	491.0332001	154.8124506	339.9099026	187.3992996	376.8717929	211.573164	317.0875489
CAALFM_C109570WA	39.4425038	42.7971825	28.0438622	35.5326584	38.0883935	31.3292706	35.7339467	41.1700399	46.1985785	49.3417722	42.3369688	37.0938838
CAALFM_C109580CA	1.2447667	0.7383413	1.2015866	0.928952	1.5731164	1.7254617	2.060595	1.2250108	2.733263	1.4109618	1.8629202	1.7564409
CAALFM_C109590CA	0	0.0203588	0.1051584	0	0	0.039024	0.0172822	0.0065406	0	0	0.028265	0
CAALFM_C109600CA	7.4200473	7.3923196	6.0269379	6.8053565	8.2340239	9.5904063	8.989653	9.8507269	11.0248974	8.8312964	9.9657753	8.1611485
CAALFM_C109630WA	509.1403353	536.1579268	376.363131	463.2868699	337.3060135	492.014807	339.8188598	375.0531796	234.3465362	380.9942678	276.1030068	380.3985115
CAALFM_C109640WA	240.398094	207.0299679	184.8383347	177.0250272	218.0733522	423.753618	183.6823721	271.7761249	237.6369723	374.1824401	245.6741602	347.8680926
CAALFM_C109690WA	2.2043975	1.5041244	1.8480154	1.177308	232.7527813	74.4856229	390.5840318	46.6169916	1433.5385174	752.7592856	1731.5286851	1140.1304259
CAALFM_C109720WA	136.1412639	129.2041114	122.1987687	126.9201123	133.9134015	219.34495	127.2162688	184.1275849	111.0468081	125.7119618	118.6494716	122.1220723
CAALFM_C109900WA	0.144944	0.0703498	0.3114651	0	0.2448257	0.3178558	0.3412497	0.2098663	0.16275	0.2364809	0.1209248	0.1163518
CAALFM_C109980CA	15.9714897	18.8461537	4.4833678	13.2284162	45.4744342	38.2666361	17.6835624	39.9544913	42.263225	52.8597346	14.3260523	38.8499907
CAALFM_C110200CA	87.8055	114.7893842	50.2409218	111.5489347	65.1850891	58.396102	51.4054968	82.2425846	91.8663623	89.5980648	68.7695339	73.3008753
CAALFM_C110430WA	0.7525943	0.537544	0.2435578	0.33684	2.9777452	1.1388348	0.976666	1.0119286	1.1644875	3.5584296	0.7419335	2.0967718
CAALFM_C110610WA	32.6474668	37.1477415	19.3193825	29.3918332	27.5343268	41.722347	18.7258105	38.7298493	47.9539554	52.9528928	43.1531708	44.4838904
CAALFM_C110710CA	3.843365	5.5584921	4.1870367	6.1364398	1.9128347	2.433463	1.6602135	2.1963654	1.8405759	5.4425426	1.8657642	4.2409592
CAALFM_C110800CA	129.9147464	83.6047968	84.2445803	83.7013454	129.1850178	138.5119571	61.2390875	143.8449574	128.4346773	285.8902851	78.6117791	227.4316572
CAALFM_C111020WA	5.1727316	9.89212	1.7928233	3.0107862	11.5449319	12.3082779	22.3926363	13.3810452	39.3458033	15.8969541	33.7318939	18.0827733
CAALFM_C111100WA	41.8268186	49.3641854	20.5178665	35.3816572	68.9443819	64.0547918	45.8983569	57.327867	82.5949601	118.8139318	37.0158454	82.9351887
CAALFM_C111220CA	238.9734251	269.1543622	219.8637798	278.2002483	160.8777349	250.4841741	159.9835321	277.4677188	155.0018564	190.8628834	192.1133337	184.4060098
CAALFM_C111240CA	123.3546556	128.8892159	71.7306433	115.3519728	118.9045342	139.323411	90.7012381	128.5590164	106.3572994	148.9711682	77.2361807	127.7785956
CAALFM_C111450CA	413.026425	285.8012791	571.3923908	353.6105645	162.2649467	355.4030105	171.8377903	308.2908031	186.2793558	312.727125	123.404424	309.3653793
CAALFM_C111470CA	12.9521393	7.8558997	6.1864572	4.2450723	15.939967	14.4165052	5.7504119	12.685352	5.6310025	17.6736065	2.67006	8.4376358
CAALFM_C111480WA	458.8472075	415.9721151	274.1264057	334.2492597	609.5638192	311.2283168	298.8406396	336.8345201	416.1516707	821.9575559	369.7193316	707.3107618
CAALFM_C111500CA	49.690935	54.3888298	25.8444891	49.2044787	43.674081	38.2179903	29.4926967	48.1262768	58.8192596	68.2055314	38.6724905	47.8452728
CAALFM_C111590WA	116.7257735	119.1222849	171.7066607	136.0366748	94.1540506	137.0217453	170.064824	129.3371509	140.4335688	139.8995068	252.690452	180.0757458
CAALFM_C111610CA	35.8912447	11.9751965	31.8169193	10.1473812	37.1372157	63.672965	35.0056504	43.6884786	42.1383658	80.4440913	42.1758966	74.6504047
CAALFM_C111640CA	17.9088368	15.5442194	15.0376962	12.0107098	16.7057395	21.3008733	17.2599912	14.755536	21.0084102	19.6596345	20.6570495	19.369716
CAALFM_C111660WA	30.4918822	34.8911913	16.9101322	23.1458891	471.9812142	300.4798641	322.9742389	296.5406022	224.2672564	355.7885974	133.7350994	296.239304
CAALFM_C111700CA	17.5732876	16.5745368	15.0920235	11.6266731	107.4367753	115.1046823	91.2887705	118.6251732	61.0175448	85.7810352	55.8670108	76.4479641
CAALFM_C111750WA	10.7074087	10.8051969	7.317687	8.9604864	11.7526439	9.623512	11.2100285	10.1112706	22.7425093	17.0103901	17.1141119	16.9830475
CAALFM_C111870WA	299.9491632	293.5067722	233.0942203	360.1670525	221.5262391	110.417768	190.0821271	186.6553738	504.2944101	561.9349058	411.0433742	496.0300562
CAALFM_C112030WA	355.4356951	287.2978589	223.6171876	298.7297409	209.5374745	531.7777614	111.4932637	429.5004153	142.1286334	291.8191885	98.6810569	200.1502211
CAALFM_C112080WA	7.4640035	4.8731075	4.7247726	3.395219	18.2407667	14.1276687	15.6259734	8.6417982	20.9741971	12.7755025	19.3226975	12.3897886
CAALFM_C112100CA	8.1747115	4.4514196	4.7052738	3.4821054	18.7010398	30.2840041	19.8768544	9.4192727	44.7246004	34.0255143	37.9035595	30.9222921
CAALFM_C112200WA	22.1697353	23.795256	12.2669317	17.533171	26.2977551	24.8949982	15.3719847	22.0903553	25.1354846	34.1234128	17.1684596	25.1649428
CAALFM_C112210WA	58.9143993	71.8022498	27.1239761	66.5881084	47.2271044	57.4501976	27.0429309	63.9429585	55.2906513	65.1445307	39.1907443	59.6973415
CAALFM_C112360CA	36.0000066	35.2039105	24.6109773	32.952404	292.1386781	448.6807724	270.879323	438.1747457	233.8731894	361.6615831	159.2435824	492.6328544
CAALFM_C112380CA	152.8022469	152.5290396	94.6020721	147.9211879	84.9903236	135.1593727	65.3839478	140.1406452	95.3696009	118.0642964	83.2248887	94.0913791
CAALFM_C112580WA	24.4115288	27.6953827	15.5945045	21.7452172	35.523054	41.9490767	26.311222	26.9632341	44.6381764	39.2370634	26.5395924	38.7933925
CAALFM_C112780WA	35.9703224	41.1005694	15.5178816	28.6472042	72.1297473	72.3164923	42.6298177	68.7336387	68.9441522	85.459389	38.6559175	65.9266254
CAALFM_C112790CA	51.09699	68.1038029	50.1525869	75.0236466	53.443052	28.0324329	47.1389602	45.1088128	79.7176862	114.6465022	51.9649101	100.0022054
CAALFM_C112810WA	21.4934302	22.658982	14.6487004	18.1347648	27.6321864	24.9003818	22.0916891	20.5756873	33.9162028	24.588847	20.1936169	21.7298076
CAALFM_C113030CA	117.4597796	122.8062665	89.9143462	111.1471204	71.2520067	114.4426918	63.7179059	130.4543724	80.5348097	95.9478371	82.767297	79.3185384
CAALFM_C113110CA	102.830924	127.5464337	89.5928729	113.5125085	84.7057727	78.4745323	81.5692069	78.2130622	120.9356921	112.0762935	125.7279681	106.5698744
CAALFM_C113130CA	85.4015165	84.7165686	57.3668385	99.6272742	106.6556262	51.8344992	75.1042279	107.8533512	84.4058871	122.182432	74.1919437	117.2211726
CAALFM_C113160WA	37.7799977	26.0305829	24.668598	16.8717009	633.0781316	286.9942622	584.2525389	327.3180158	667.040628	506.4616309	466.9262407	437.8047653
CAALFM_C113510CA	15.4565301	15.2106176	8.1255689	12.6399097	11.7843342	19.5889564	7.3690102	14.2935092	16.6270261	14.1142728	7.6804236	12.0268359
CAALFM_C113540WA	16.0267028	19.3635387	7.5478045	15.0771428	21.1287071	23.8997488	11.8558373	20.2737565	34.455131	37.5189849	20.0970741	34.1711466
CAALFM_C113630WA	0.9268268	1.1138986	1.014254	0.735968	31.3168607	19.0588779	44.9266052	17.8653403	62.5495262	57.1316201	53.8161245	56.2150381
CAALFM_C113690CA	95.2270357	110.4553315	77.1258787	85.1194211	133.4984376	157.4231307	126.9671544	116.6252446	169.4220562	210.7215864	72.925142	184.3824662
CAALFM_C113760WA	67.4762269	80.9921251	29.4601805	68.4392559	60.4945724	74.7562211	33.2919945	77.4479797	64.9966447	73.3182266	42.8955353	67.343409
CAALFM_C113850CA	0.2084121	0.2450331	0.3894345	0.1154115	0.1147924	0.3251659	0.3840076	0.205885	0.419701	0.6335988	0.4797567	0.5852195
CAALFM_C113860CA	598.7094915	475.5668456	485.7836003	388.6174726	551.0444425	1050.3108963	479.8219917	932.6091192	188.7352725	337.1215709	229.3921516	280.5956031
CAALFM_C113870WA	69.4121292	7.8151377	21.4391785	11.7639201	29.0481636	152.124592	5.7775051	55.3947223	21.2770345	127.6202592	6.490305	60.6625859
CAALFM_C113900CA	97.6535646	96.8754585	64.4388183	96.3370966	92.4672167	72.3476425	63.8377621	88.4010298	108.225264	131.4856199	97.4942904	117.1062075
